source_file,category,title,auth_publication_no,auth_publication_date,application_no,application_date,confidence,note
CN119480180B.PDF,已授权,基于多策略的棒控棒位设备工况标注方法、装置及设备,CN119480180B,2025.10.10,202411333484.1,2024.09.24,高,
CN117373706B.PDF,已授权,一种反应堆控制棒驱动系统自适应控制方法和平台,CN117373706B,2025.07.04,202311593872.9,2023.11.27,高,
CN118332684B.PDF,已授权,一种基于密集卷积网络的流场预测方法,CN118332684B,2025.05.13,202410350713.4,2024.03.26,高,
CN118333131B.PDF,已授权,一种基于半监督学习的判别回归流场预测方法,CN118333131B,2025.04.18,202410350723.8,2024.03.26,高,
CN118378560B.PDF,已授权,一种基于多视图生成式判别学习的流场预测方法,CN118378560B,2025.02.25,202410350721.9,2024.03.26,高,
CN118395886B.PDF,已授权,一种基于令牌选择Transformer的流场预测方法,CN118395886B,2025.02.25,202410350715.3,2024.03.26,高,
CN117591103B.PDF,已授权,反应堆控制棒驱动系统动态数字化建模方法、系统及设备,CN117591103B,2025.01.21,202311612591.3,2023.11.27,高,
CN117742969B.PDF,已授权,堆芯MOC程序与CFD程序网格映射分析方法及系统,CN117742969B,2024.09.10,202311853372.4,2023.12.28,高,
CN115080913B.PDF,已授权,燃耗稀疏矩阵求解方法及系统、设备和存储介质,CN115080913B,2024.06.21,202210508186.6,2022.05.11,高,
CN113901029B.PDF,已授权,一种支持堆芯多专业计算软件的统一建模方法及系统,CN113901029B,2024.06.18,202111203668.2,2021.10.15,高,
CN113673006B.PDF,已授权,一种物理热工耦合可视化全堆芯复杂几何建模方法及系统,CN113673006B,2023.07.25,202110983741.6,2021.08.25,高,
CN112364294B.PDF,已授权,堆芯数值计算矩阵的自动转换方法、装置、设备及介质,CN112364294B,2022.12.27,202011162606.7,2020.10.27,高,
CN113076684B.PDF,已授权,一种核反应堆堆芯调棒过程瞬态参数智能计算方法,CN113076684B,2022.09.20,202110203032.1,2021.02.23,高,
CN112364288B.PDF,已授权,一种反应堆多物理场耦合计算系统及方法,CN112364288B,2022.08.05,202011162415.0,2020.10.27,高,
CN112347621B.PDF,已授权,压力容器熔池传热确定方法及装置,CN112347621B,2022.06.28,202011148040.2,2020.10.23,高,
CN112613156B.PDF,已授权,一种精细化燃料棒性能分析方法,CN112613156B,2022.04.19,202011301692.5,2020.11.19,高,
CN112906272B.PDF,已授权,一种反应堆稳态物理热工全耦合精细数值模拟方法及系统,CN112906272B,2022.04.15,202110196712.5,2021.02.22,高,
CN112347645B.PDF,已授权,堆芯栅元燃耗特性的重构方法及装置,CN112347645B,2022.03.22,202011230057.2,2020.11.06,高,
CN112783476B.PDF,已授权,一种堆芯数值求解器易扩展软件系统、调用方法及终端,CN112783476B,2022.02.22,202110054596.3,2021.01.15,高,
CN110427706B.PDF,已授权,一种动态提升拟合阶数的搜索堆芯临界棒位计算方法,CN110427706B,2022.02.11,201910717168.7,2019.08.05,高,
CN112181418B.PDF,已授权,一种核反应堆计算软件图形界面的快速构建方法及系统,CN112181418B,2022.02.11,202011130699.5,2020.10.21,高,
CN112906271B.PDF,已授权,一种反应堆瞬态物理热工全耦合精细数值模拟方法及系统,CN112906271B,2022.02.11,202110196414.6,2021.02.22,高,
CN112130998B.PDF,已授权,适用于多环路压水堆的核反应堆系统分析程序的优化方法,CN112130998B,2022.02.01,202011007999.4,2020.09.23,高,
CN202511243493_FullTextImage.pdf,已申请,一种间断系数微分方程的变限积分深度学习数值求解方法,,,202511243493.6,2025.09.02,高,
CN202511093274_FullTextImage.pdf,已申请,各向异性散射中子输运方程的深度学习数值求解方法,,,202511093274.4,2025.08.06,高,
CN202511093276_FullTextImage.pdf,已申请,一种均匀系统超精细群共振自屏深度学习计算方法,,,202511093276.3,2025.08.06,高,
CN202510664146_FullTextImage.pdf,已申请,基于数据与模型自适应修正的智能数值计算方法及系统,,,202510664146.4,2025.05.22,高,
CN202510392994_FullTextImage.pdf,已申请,基于动态松弛因子的物理热工耦合计算方法、装置和设备,,,202510392994.4,2025.03.31,高,
CN119381033A.PDF,已申请,一种用于反应堆控制棒的控制方法、装置及介质,,,202411313233.7,2024.09.20,高,
CN118349774A.PDF,已申请,一种基于深度学习驱动的反应堆堆芯功率重构方法,,,202410409395.4,2024.04.07,高,
CN118377994A.PDF,已申请,一种深度机器学习求解连续性积分方程的方法,,,202410409399.2,2024.04.07,高,
CN117675562A.PDF,已申请,适用于反应堆仿真软件的多类型数据网络传输通信方法,,,202311673161.2,2023.12.07,高,
CN116595296A.PDF,已申请,求解中子输运方程的智能数值计算方法及装置,,,202310444906.1,2023.04.24,高,
CN115146545A.PDF,已申请,一种核反应堆堆芯临界稳态参数智能分析方法及系统,,,202210917867.8,2022.08.01,高,
CN114970206A.PDF,已申请,一种反应堆离散纵标法的结构化网格多级并行方法和设备,,,202210736121.7,2022.06.27,高,
CN113901400A.PDF,已申请,一种燃料燃耗计算方法、装置及存储介质,,,202111194218.1,2021.10.13,高,
